lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status,mmlu_mean_acc,mmlu_eval_json
0.0003,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.043819,0.042886,200,1.046807,0.045745,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_1p0000e-02,ok,0.4385995270972405,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.0002,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.035224,0.034618,200,1.037694,0.037001,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-03,ok,0.433448415003855,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.0002,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.035224,0.034618,200,1.037694,0.037001,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-02,ok,0.42125251450288714,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.0006,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.044644,0.043676,500,1.044644,0.043676,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_1p0000e-03,ok,0.42026631616629906,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0004,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.044769,0.043796,500,1.044769,0.043796,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_0p0000e00,ok,0.40850208475498284,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0004,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.044769,0.043796,500,1.044769,0.043796,500,qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_1p0000e-03,ok,0.40850208475498284,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_4p0000e-04_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.0006,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.044537,0.043573,500,1.044537,0.043573,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_0p0000e00,ok,0.4004932611396596,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0003,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.048617,0.047473,500,1.048617,0.047473,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_1p0000e-03,ok,0.3993839300943812,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-04_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.0002,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.040892,0.040078,200,1.045303,0.044307,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_0p0000e00,ok,0.39597495689931517,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-04_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0006,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.045785,0.044767,500,1.045785,0.044767,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_1p0000e-02,ok,0.38971868780985097,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.002,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.137585,0.128908,500,1.137585,0.128908,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r32_a64_st500_wd_0p0000e00,ok,0.3401064880895741,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0006,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.056764,0.055212,500,1.056764,0.055212,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_0p0000e00,ok,0.33996717309497354,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0015,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.133829,0.125601,400,1.137394,0.12874,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_0p0000e00,ok,0.3335386742950082,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.0015,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.133829,0.125601,400,1.137394,0.12874,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_1p0000e-03,ok,0.3335386742950082,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.001,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.124488,0.117328,500,1.124488,0.117328,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_1p0000e-03,ok,0.3166033325058867,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.001,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.124488,0.117328,500,1.124488,0.117328,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_0p0000e00,ok,0.3166033319558185,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.001,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.124488,0.117328,500,1.124488,0.117328,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_1p0000e-02,ok,0.3166033319558185,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.0015,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.13753,0.128859,500,1.13753,0.128859,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r64_a128_st500_wd_1p0000e-03,ok,0.31592544260412125,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.002,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.138022,0.129292,500,1.138022,0.129292,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r64_a128_st500_wd_1p0000e-02,ok,0.3152035564277153,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.0015,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.124449,0.117293,500,1.124449,0.117293,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_1p0000e-02,ok,0.3044795517732768,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.003,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.14288,0.133551,500,1.14288,0.133551,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r64_a128_st500_wd_1p0000e-02,ok,0.30028616079155,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.001,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.083167,0.079889,500,1.083167,0.079889,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_0p0000e00,ok,0.2964670087071417,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.001,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.061479,0.059663,500,1.061479,0.059663,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_1p0000e-03,ok,0.29499091218843143,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.0006,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.06593,0.063847,500,1.06593,0.063847,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_1p0000e-03,ok,0.29481845507927484,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.0006,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.06593,0.063847,500,1.06593,0.063847,500,qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_1p0000e-02,ok,0.29481845397825435,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_6p0000e-04_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.003,32,64.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.1384,0.129623,500,1.1384,0.129623,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r32_a64_st500_wd_0p0000e00,ok,0.2909111701902634,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r32_a64_st500_wd_0p0000e00/mmlu_eval.json
0.003,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.1384,0.129624,500,1.1384,0.129624,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r64_a128_st500_wd_0p0000e00,ok,0.2896365907377577,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.003,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.1384,0.129624,500,1.1384,0.129624,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r64_a128_st500_wd_1p0000e-03,ok,0.2896365866230475,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.002,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.141472,0.132318,500,1.141472,0.132318,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r64_a128_st500_wd_0p0000e00,ok,0.2872539726542969,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0015,64,128.0,0.0,500,100,knowledge_mc_mix,0.1,default,1.142983,0.133641,300,1.169869,0.156892,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r64_a128_st500_wd_0p0000e00,ok,0.2872539726542969,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r64_a128_st500_wd_0p0000e00/mmlu_eval.json
0.0015,64,128.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.142983,0.133641,300,1.169869,0.156892,500,qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r64_a128_st500_wd_1p0000e-02,ok,0.2872539726542969,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p5000e-03_r64_a128_st500_wd_1p0000e-02/mmlu_eval.json
0.003,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.13856,0.129764,500,1.13856,0.129764,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r32_a64_st500_wd_1p0000e-02,ok,0.2872539709592771,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.002,64,128.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.141472,0.132318,500,1.141472,0.132318,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r64_a128_st500_wd_1p0000e-03,ok,0.2872539709592771,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r64_a128_st500_wd_1p0000e-03/mmlu_eval.json
0.001,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.074896,0.072224,500,1.074896,0.072224,500,qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_1p0000e-02,ok,0.2868618077756001,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_1p0000e-03_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.002,32,64.0,0.01,500,100,knowledge_mc_mix,0.1,default,1.137777,0.129076,500,1.137777,0.129076,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-02,ok,0.2838511060783554,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-02/mmlu_eval.json
0.002,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.137777,0.129076,500,1.137777,0.129076,500,qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-03,ok,0.2838511056059477,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_2p0000e-03_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
0.003,32,64.0,0.001,500,100,knowledge_mc_mix,0.1,default,1.137879,0.129166,500,1.137879,0.129166,500,qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r32_a64_st500_wd_1p0000e-03,ok,0.2838511056059477,/nfsshare/home/wangxiao/Manifold-Lora/qwen3_autogrid/results_mmlu_refine/lr_3p0000e-03_r32_a64_st500_wd_1p0000e-03/mmlu_eval.json
